token_id,session_number,speaker1,speaker2,speaker1_id,speaker2_id,speaker1_gender,speaker2_gender,word_start_time,word_end_time,word_number_in_ipu,word_number_in_turn,word_number_in_task,total_number_of_words_in_ipu,total_number_of_words_in_turn,total_number_of_words_in_task,silence_before_word,silence_after_word,word,word_pos_tag,word_pos_tag_simplified,word_duration,word_number_of_syllables,word_speaking_rate_syllables_per_sec,word_speaking_rate_syllables_per_sec_speaker_normalized,word_speaking_rate_phones_per_sec,word_speaking_rate_phones_per_sec_speaker_normalized,word_tobi_break_index,word_tobi_pitch_accent,word_tobi_phrase_accent,word_tobi_boundary_tone,word_tobi_phrase_accent_boundary_tone,word_tobi_hif0_time,Stanford_PoS,Coreference_IDs
s01.cards.1.A.142.04,1,A,B,101,102,m,m,142.045,142.24,2,2,2,8,26,26,0.0,0.0,so,RB,R,0.195,1,5.1282,0.3018,10.2564,-0.0006,1,_,_,_,_,,IN,
s01.cards.1.A.142.24,1,A,B,101,102,m,m,142.24,142.34,3,3,3,8,26,26,0.0,0.0,I,PRP,O,0.1,1,10.0,3.3504,10.0,-0.0687,1,_,_,_,_,,PRP,1
s01.cards.1.A.142.34,1,A,B,101,102,m,m,142.34,142.5975,4,4,4,8,26,26,0.0,0.0,have,VBP,V,0.2575,1,3.8835,-0.477,9.7087,-0.146,1,H*,_,_,_,142.3512,VBP,
s01.cards.1.A.142.60,1,A,B,101,102,m,m,142.5975,142.7275,5,5,5,8,26,26,0.0,0.0,a,DT,O,0.13,1,7.6923,1.9063,7.6923,-0.6813,1,_,_,_,_,,DT,
s01.cards.1.A.142.73,1,A,B,101,102,m,m,142.7275,142.835,6,6,6,8,26,26,0.0,0.0,uh,UH,O,0.1075,1,9.3023,2.9138,9.3023,-0.2539,3p,_,!H-,_,!H-,,,
s01.cards.1.A.142.84,1,A,B,101,102,m,m,142.835,142.99,7,7,7,8,26,26,0.0,0.0,a,DT,O,0.155,1,6.4516,1.13,6.4516,-1.0107,1,_,_,_,_,,DT,
s01.cards.1.A.142.99,1,A,B,101,102,m,m,142.99,143.7725,8,8,8,8,26,26,0.0,0.1013,blue,JJ,J,0.7825,1,1.278,-2.1075,3.8339,-1.7057,4,H*,H-,L%,H-L%,143.3972,JJ,
s01.cards.1.A.143.87,1,A,B,101,102,m,m,143.873758,144.0575,1,9,9,5,26,26,0.1013,0.0,uh,UH,O,0.1837,1,5.4424,0.4985,5.4424,-1.2786,1,_,_,_,_,,,
s01.cards.1.A.144.06,1,A,B,101,102,m,m,144.0575,144.4875,2,10,10,5,26,26,0.0,0.0,mermaid,NN,N,0.43,2,4.6512,0.0033,11.6279,0.3635,1,H*,_,_,_,144.3167,NN,
s01.cards.1.A.144.49,1,A,B,101,102,m,m,144.4875,144.6475,3,11,11,5,26,26,0.0,0.0,on,IN,O,0.16,1,6.25,1.0038,12.5,0.595,1,_,_,_,_,,IN,
s01.cards.1.A.144.65,1,A,B,101,102,m,m,144.6475,144.7425,4,12,12,5,26,26,0.0,0.0,the,DT,O,0.095,1,10.5263,3.6797,21.0526,2.8656,1,_,_,_,_,,DT,37
s01.cards.1.A.144.74,1,A,B,101,102,m,m,144.7425,145.3025,5,13,13,5,26,26,0.0,0.4125,top,NN,N,0.56,1,1.7857,-1.7897,5.3571,-1.3013,4,H*,L-,H%,L-H%,,JJ,37
s01.cards.1.A.145.72,1,A,B,101,102,m,m,145.715,146.1375,1,14,14,9,26,26,0.4125,0.0,an,DT,O,0.4225,1,2.3669,-1.4261,4.7337,-1.4668,2,_,_,_,_,,DT,71
s01.cards.1.A.146.14,1,A,B,101,102,m,m,146.1375,146.74,2,15,15,9,26,26,0.0,0.0,arm,NN,N,0.6025,1,1.6598,-1.8685,4.1494,-1.6219,4,H*,H-,L%,H-L%,146.4792,NN,71
s01.cards.1.A.146.74,1,A,B,101,102,m,m,146.74,147.06,3,16,16,9,26,26,0.0,0.0,down,IN,O,0.32,1,3.125,-0.9517,9.375,-0.2346,1,H*,_,_,_,146.97899999999996,IN,
s01.cards.1.A.147.06,1,A,B,101,102,m,m,147.06,147.1425,4,17,17,9,26,26,0.0,0.0,to,IN,O,0.0825,1,12.1212,4.6777,24.2424,3.7124,1,_,_,_,_,,TO,
s01.cards.1.A.147.14,1,A,B,101,102,m,m,147.1425,147.1925,5,18,18,9,26,26,0.0,0.0,the,DT,O,0.05,1,20.0,9.6079,40.0,7.8958,1,_,_,_,_,,DT,71
s01.cards.1.A.147.19,1,A,B,101,102,m,m,147.1925,147.66,6,19,19,9,26,26,0.0,0.0,left,NN,N,0.4675,1,2.139,-1.5686,8.5561,-0.452,4,H*,H-,L%,H-L%,,VBD,
s01.cards.1.A.147.66,1,A,B,101,102,m,m,147.66,147.765,7,20,20,9,26,26,0.0,0.0,and,CC,O,0.105,1,9.5238,3.0524,26.1905,4.2296,1,_,_,_,_,,CC,
s01.cards.1.A.147.76,1,A,B,101,102,m,m,147.765,147.9125,8,21,21,9,26,26,0.0,0.0,an,DT,O,0.1475,1,6.7797,1.3352,13.5593,0.8763,1,_,_,_,_,,DT,18
s01.cards.1.A.147.91,1,A,B,101,102,m,m,147.9125,148.57,9,22,22,9,26,26,0.0,0.1225,onion,NN,N,0.6575,2,3.0418,-1.0037,6.8441,-0.9065,4,H*,L-,H%,L-H%,148.0077,NN,18
s01.cards.1.A.148.69,1,A,B,101,102,m,m,148.6925,149.045,1,23,23,4,26,26,0.1225,0.0,down,IN,O,0.3525,1,2.8369,-1.132,8.5106,-0.4641,1,L*,_,_,_,,RB,
s01.cards.1.A.149.04,1,A,B,101,102,m,m,149.045,149.13913,2,24,24,4,26,26,0.0,0.0,to,IN,O,0.0941,1,10.6236,3.7406,21.2472,2.9173,1,_,_,_,_,,TO,
s01.cards.1.A.149.14,1,A,B,101,102,m,m,149.13913,149.20913000000004,3,25,25,4,26,26,0.0,0.0,the,DT,O,0.07,1,14.2857,6.0322,28.5714,4.8617,1,_,_,_,_,,DT,8
s01.cards.1.A.149.21,1,A,B,101,102,m,m,149.20913000000004,149.51,4,26,26,4,26,26,0.0,14.26,right,JJ,J,0.3009,1,3.3237,-0.8273,9.9711,-0.0764,4,L*,L-,L%,L-L%,,NN,8
s01.cards.1.A.163.77,1,A,B,101,102,m,m,163.77,164.32,1,1,1,5,5,5,14.26,0.0,um,UH,O,0.55,1,1.8182,-1.7694,3.6364,-1.7581,4,L*,L-,H%,L-H%,,,
s01.cards.1.A.164.32,1,A,B,101,102,m,m,164.32,164.6925,2,2,2,5,5,5,0.0,0.0,no,UH,O,0.3725,1,2.6846,-1.2273,5.3691,-1.2981,3,L*,L-,_,L-,,DT,80
s01.cards.1.A.164.69,1,A,B,101,102,m,m,164.6925,165.01,3,3,3,5,5,5,0.0,0.0,don't,VBP_RB,V,0.3175,1,3.1496,-0.9363,11.0236,0.2031,1,_,_,_,_,,VBP_RB,
s01.cards.1.A.165.01,1,A,B,101,102,m,m,165.01,165.25,4,4,4,5,5,5,0.0,0.0,got,VBN,V,0.24,1,4.1667,-0.2998,12.5,0.595,1,L*,_,_,_,,VBD,
s01.cards.1.A.165.25,1,A,B,101,102,m,m,165.25,165.345,5,5,5,5,5,5,0.0,2.7075,it,PRP,O,0.095,1,10.5263,3.6797,21.0526,2.8656,4,_,L-,L%,L-L%,,PRP,80
s01.cards.1.A.168.05,1,A,B,101,102,m,m,168.0525,168.5725,1,1,1,11,11,11,2.7075,0.0,okay,UH,O,0.52,2,3.8462,-0.5004,5.7692,-1.1919,4,H*,L-,H%,L-H%,168.3081,JJ,
s01.cards.1.A.168.57,1,A,B,101,102,m,m,168.5725,168.933505,2,2,2,11,11,11,0.0,0.0,so,RB,R,0.361,1,2.77,-1.1738,5.5401,-1.2527,1,_,_,_,_,,RB,
s01.cards.1.A.168.93,1,A,B,101,102,m,m,168.933505,168.993505,3,3,3,11,11,11,0.0,0.0,I,PRP,O,0.06,1,16.6667,7.522,16.6667,1.7012,1,_,_,_,_,,PRP,1
s01.cards.1.A.168.99,1,A,B,101,102,m,m,168.993505,169.1675,4,4,4,11,11,11,0.0,0.0,have,VBP,V,0.174,1,5.7473,0.6892,14.3682,1.091,1,L*,_,_,_,,VBP,
s01.cards.1.A.169.17,1,A,B,101,102,m,m,169.1675,169.250056,5,5,5,11,11,11,0.0,0.0,a,DT,O,0.0826,1,12.113,4.6726,12.113,0.4923,2,_,_,_,_,,DT,
s01.cards.1.A.169.25,1,A,B,101,102,m,m,169.250056,169.945962,6,6,6,11,11,11,0.0,0.0,shoe,NN,N,0.6959,1,1.4369999999999998,-2.0079,2.874,-1.9605,3,H*,H-,_,H-,169.7614,NN,
s01.cards.1.A.169.95,1,A,B,101,102,m,m,169.945962,170.53319399999995,7,7,7,11,11,11,0.0,0.0,carrots,NNS,N,0.5872,2,3.4058,-0.7759,10.2174,-0.011,2,H*,_,_,_,170.4033,NNS,
s01.cards.1.A.170.53,1,A,B,101,102,m,m,170.53319399999995,170.625,8,8,8,11,11,11,0.0,0.0,and,CC,O,0.0918,1,10.8925,3.9089,29.9545,5.2289,1,_,_,_,_,,CC,
s01.cards.1.A.170.62,1,A,B,101,102,m,m,170.625,170.685,9,9,9,11,11,11,0.0,0.0,a,DT,O,0.06,1,16.6667,7.522,16.6667,1.7012,1,_,_,_,_,,DT,
s01.cards.1.A.170.69,1,A,B,101,102,m,m,170.685,171.045,10,10,10,11,11,11,0.0,0.0,tennis,NN,N,0.36,2,5.5556,0.5693,13.8889,0.9638,1,!H*,_,_,_,,NN,
s01.cards.1.A.171.04,1,A,B,101,102,m,m,171.045,171.4275,11,11,11,11,11,11,0.0,12.0825,racket,NN,N,0.3825,2,5.2288,0.3648,13.0719,0.7469,4,!H*,L-,L%,L-L%,,NN,
s01.cards.1.A.183.51,1,A,B,101,102,m,m,183.51,183.655,1,1,1,5,5,5,12.0825,0.0,no,UH,O,0.145,1,6.8966,1.4084,13.7931,0.9383,3-,L*,H-,_,H-,,DT,86
s01.cards.1.A.183.66,1,A,B,101,102,m,m,183.655,183.74,2,2,2,5,5,5,0.0,0.0,I,PRP,O,0.085,1,11.7647,4.4546,11.7647,0.3998,1,_,_,_,_,,PRP,86
s01.cards.1.A.183.74,1,A,B,101,102,m,m,183.74,183.8675,3,3,3,5,5,5,0.0,0.0,don't,VBP_RB,V,0.1275,1,7.8431,2.0007,27.451,4.5643,1,_,_,_,_,,VBP_RB,86_86
s01.cards.1.A.183.87,1,A,B,101,102,m,m,183.8675,184.015,4,4,4,5,5,5,0.0,0.0,have,VB,V,0.1475,1,6.7797,1.3352,16.9492,1.7762,1,L*,_,_,_,,VBP,
s01.cards.1.A.184.01,1,A,B,101,102,m,m,184.015,184.135,5,5,5,5,5,5,0.0,2.86,it,PRP,O,0.12,1,8.3333,2.3075,16.6667,1.7012,4,_,L-,L%,L-L%,,PRP,86
s01.cards.1.A.187.00,1,A,B,101,102,m,m,186.995,187.5125,1,1,1,26,26,26,2.86,0.0,okay,UH,O,0.5175,2,3.8647,-0.4888,5.7971,-1.1845,4,H+!H*,L-,L%,L-L%,187.0574,JJ,
s01.cards.1.A.187.51,1,A,B,101,102,m,m,187.5125,187.82617,2,2,2,26,26,26,0.0,0.0,so,RB,R,0.3137,1,3.1881,-0.9122,6.3761,-1.0308,3,L*,L-,_,L-,,RB,
s01.cards.1.A.187.83,1,A,B,101,102,m,m,187.82617,188.045,3,3,3,26,26,26,0.0,0.0,at,IN,O,0.2188,1,4.5698,-0.0476,9.1395,-0.2971,1,_,_,_,_,,IN,
s01.cards.1.A.188.04,1,A,B,101,102,m,m,188.045,188.14,4,4,4,26,26,26,0.0,0.0,the,DT,O,0.095,1,10.5263,3.6797,21.0526,2.8656,1,_,_,_,_,,DT,82
s01.cards.1.A.188.14,1,A,B,101,102,m,m,188.14,188.5075,5,5,5,26,26,26,0.0,0.0,top,NN,N,0.3675,1,2.7211,-1.2044,8.1633,-0.5563,3,H*,H-,_,H-,188.35,NN,82
s01.cards.1.A.188.51,1,A,B,101,102,m,m,188.5075,188.6525,6,6,6,26,26,26,0.0,0.0,is,VBZ,V,0.145,1,6.8966,1.4084,13.7931,0.9383,1,_,_,_,_,,VBZ,
s01.cards.1.A.188.65,1,A,B,101,102,m,m,188.6525,188.7125,7,7,7,26,26,26,0.0,0.0,a,DT,O,0.06,1,16.6667,7.522,16.6667,1.7012,1,_,_,_,_,,DT,
s01.cards.1.A.188.71,1,A,B,101,102,m,m,188.7125,189.335,8,8,8,26,26,26,0.0,0.0,shoe,NN,N,0.6225,1,1.6064,-1.9019,3.2129,-1.8706,4,H*,H-,L%,H-L%,188.9659,NN,
s01.cards.1.A.189.34,1,A,B,101,102,m,m,189.335,189.495612,9,9,9,26,26,26,0.0,0.0,and,CC,O,0.1606,1,6.2262,0.9889,17.122,1.8221,1,_,_,_,_,,CC,
s01.cards.1.A.189.50,1,A,B,101,102,m,m,189.495612,189.865612,10,10,10,26,26,26,0.0,0.0,then,RB,R,0.37,1,2.7027,-1.2159,8.1081,-0.5709,2,_,_,_,_,,RB,88
s01.cards.1.A.189.87,1,A,B,101,102,m,m,189.865612,190.28,11,11,11,26,26,26,0.0,0.0,down,IN,O,0.4144,1,2.4132,-1.3971,7.2396,-0.8015,1,H*,_,_,_,189.9664,RB,
s01.cards.1.A.190.28,1,A,B,101,102,m,m,190.28,190.375,12,12,12,26,26,26,0.0,0.0,to,IN,O,0.095,1,10.5263,3.6797,21.0526,2.8656,1,_,_,_,_,,TO,
s01.cards.1.A.190.38,1,A,B,101,102,m,m,190.375,190.4875,13,13,13,26,26,26,0.0,0.0,the,DT,O,0.1125,1,8.8889,2.6551,17.7778,1.9962,1,_,_,_,_,,DT,
s01.cards.1.A.190.49,1,A,B,101,102,m,m,190.4875,190.9675,14,14,14,26,26,26,0.0,0.0,right,NN,N,0.48,1,2.0833,-1.6035,6.25,-1.0642,3,!H*,H-,_,H-,,NN,
s01.cards.1.A.190.97,1,A,B,101,102,m,m,190.9675,191.5075,15,15,15,26,26,26,0.0,0.0,is,VBZ,V,0.54,1,1.8519,-1.7483,3.7037,-1.7402,4,H*,H-,L%,H-L%,191.0638,VBZ,
s01.cards.1.A.191.51,1,A,B,101,102,m,m,191.5075,191.785,16,16,16,26,26,26,0.0,0.0,uh,UH,O,0.2775,1,3.6036,-0.6522,3.6036,-1.7668,3p,L*,L-,_,L-,,,
s01.cards.1.A.191.78,1,A,B,101,102,m,m,191.785,191.905,17,17,17,26,26,26,0.0,0.0,a,DT,O,0.12,1,8.3333,2.3075,8.3333,-0.5112,1,_,_,_,_,,DT,
s01.cards.1.A.191.91,1,A,B,101,102,m,m,191.905,192.2075,18,18,18,26,26,26,0.0,0.0,bottle,NN,N,0.3025,2,6.6116,1.2301,14.876,1.2258,1,H*,_,_,_,192.0611,NN,
s01.cards.1.A.192.21,1,A,B,101,102,m,m,192.2075,192.2675,19,19,19,26,26,26,0.0,0.0,of,IN,O,0.06,1,16.6667,7.522,33.3333,6.1259,1,_,_,_,_,,IN,
s01.cards.1.A.192.27,1,A,B,101,102,m,m,192.2675,192.52,20,20,20,26,26,26,0.0,0.0,wine,NN,N,0.2525,1,3.9604,-0.4289,11.8812,0.4307,3,H*,H-,_,H-,,NN,
s01.cards.1.A.192.52,1,A,B,101,102,m,m,192.52,192.62,21,21,21,26,26,26,0.0,0.0,and,CC,O,0.1,1,10.0,3.3504,27.5,4.5773,1,_,_,_,_,,CC,
s01.cards.1.A.192.62,1,A,B,101,102,m,m,192.62,192.67,22,22,22,26,26,26,0.0,0.0,a,DT,O,0.05,1,20.0,9.6079,20.0,2.5862,1,_,_,_,_,,DT,
s01.cards.1.A.192.67,1,A,B,101,102,m,m,192.67,192.975,23,23,23,26,26,26,0.0,0.0,glass,NN,N,0.305,1,3.2787,-0.8555,13.1148,0.7582,1,L*,_,_,_,,NN,
s01.cards.1.A.192.97,1,A,B,101,102,m,m,192.975,193.025612,24,24,24,26,26,26,0.0,0.0,of,IN,O,0.0506,1,19.7582,9.4565,39.5163,7.7674,1,_,_,_,_,,IN,
s01.cards.1.A.193.03,1,A,B,101,102,m,m,193.025612,193.25,25,25,25,26,26,26,0.0,0.0,wine,NN,N,0.2244,1,4.4566,-0.1184,13.3697,0.8259,1,_,_,_,_,,NN,
s01.cards.1.A.193.25,1,A,B,101,102,m,m,193.25,193.75,26,26,26,26,26,26,0.0,8.3925,together,RB,R,0.5,3,6.0,0.8474,12.6667,0.6393,4,L*,L-,L%,L-L%,,RB,
s01.cards.1.A.202.14,1,A,B,101,102,m,m,202.1425,202.415,1,1,1,2,2,2,8.3925,0.0,got,VBD,V,0.2725,1,3.6697,-0.6108,11.0092,0.1992,1,L*,_,_,_,,VBN,
s01.cards.1.A.202.41,1,A,B,101,102,m,m,202.415,202.5175,2,2,2,2,2,2,0.0,4.9875,it,PRP,O,0.1025,1,9.7561,3.1977,19.5122,2.4566,4,_,L-,L%,L-L%,,PRP,92
s01.cards.1.A.207.50,1,A,B,101,102,m,m,207.505,208.075,1,1,1,12,20,20,4.9875,0.0,okay,UH,O,0.57,2,3.5088,-0.7115,5.2632,-1.3262,4,H*,L-,H%,L-H%,207.7361,JJ,
s01.cards.1.A.208.07,1,A,B,101,102,m,m,208.075,208.715,2,2,2,12,20,20,0.0,0.0,so,RB,R,0.64,1,1.5625,-1.9294,3.125,-1.8939,4,H*,H-,L%,H-L%,208.3354,IN,
s01.cards.1.A.208.72,1,A,B,101,102,m,m,208.715,208.8475,3,3,3,12,20,20,0.0,0.0,I,PRP,O,0.1325,1,7.5472,1.8155,7.5472,-0.7199,1,_,_,_,_,,PRP,1
s01.cards.1.A.208.85,1,A,B,101,102,m,m,208.8475,209.2025,4,4,4,12,20,20,0.0,0.0,have,VBP,V,0.355,1,2.8169,-1.1445,7.0423,-0.8539,2,_,_,_,_,,VBP,
s01.cards.1.A.209.20,1,A,B,101,102,m,m,209.2025,209.697093,5,5,5,12,20,20,0.0,0.0,a,DT,O,0.4946,1,2.0219,-1.642,2.0219,-2.1867,3,H*,H-,_,H-,209.4919,DT,94
s01.cards.1.A.209.70,1,A,B,101,102,m,m,209.697093,210.55,6,6,6,12,20,20,0.0,0.0,sunflower,NN,N,0.8529,3,3.5174,-0.7061,8.597999999999999,-0.4409,3,H+!H*,H-,_,H-,209.9935,NN,94
s01.cards.1.A.210.55,1,A,B,101,102,m,m,210.55,210.7275,7,7,7,12,20,20,0.0,0.0,up,IN,O,0.1775,1,5.6338,0.6182,11.2676,0.2678,1,_,_,_,_,210.6091,RB,94
s01.cards.1.A.210.73,1,A,B,101,102,m,m,210.7275,210.8925,8,8,8,12,20,20,0.0,0.0,on,IN,O,0.165,1,6.0606,0.8853,12.1212,0.4945,1,_,_,_,_,,IN,94
s01.cards.1.A.210.89,1,A,B,101,102,m,m,210.8925,211.255,9,9,9,12,20,20,0.0,0.0,top,NN,N,0.3625,1,2.7586,-1.1809,8.2759,-0.5264,4,H+!H*,H-,L%,H-L%,,JJ,94
s01.cards.1.A.211.25,1,A,B,101,102,m,m,211.255,211.48,10,10,10,12,20,20,0.0,0.0,and,CC,O,0.225,1,4.4444,-0.126,12.2222,0.5213,1,_,_,_,_,,CC,
s01.cards.1.A.211.48,1,A,B,101,102,m,m,211.48,211.665,11,11,11,12,20,20,0.0,0.0,two,CD,O,0.185,1,5.4054,0.4753,10.8108,0.1466,1,H*,_,_,_,211.6041,CD,30
s01.cards.1.A.211.66,1,A,B,101,102,m,m,211.665,212.7775,12,12,12,12,20,20,0.0,0.1211,microphones,NNS,N,1.1125,3,2.6966,-1.2197,8.0899,-0.5758,4,!H*,H-,L%,H-L%,,NNS,
s01.cards.1.A.212.90,1,A,B,101,102,m,m,212.898615,213.0175,1,13,13,8,20,20,0.1211,0.0,on,IN,O,0.1189,1,8.4115,2.3564,16.823,1.7427,1,_,_,_,_,,IN,
s01.cards.1.A.213.02,1,A,B,101,102,m,m,213.0175,213.08,2,14,14,8,20,20,0.0,0.0,the,DT,O,0.0625,1,16.0,7.1049,32.0,5.772,1,_,_,_,_,,DT,41
s01.cards.1.A.213.08,1,A,B,101,102,m,m,213.08,213.29,3,15,15,8,20,20,0.0,0.0,left,NN,N,0.21,1,4.7619,0.0726,19.0476,2.3333,2,H*,_,_,_,213.2031,NN,41
s01.cards.1.A.213.29,1,A,B,101,102,m,m,213.29,213.3625,4,16,16,8,20,20,0.0,0.0,and,CC,O,0.0725,1,13.7931,5.7239,37.931,7.3465,1,_,_,_,_,,CC,41
s01.cards.1.A.213.36,1,A,B,101,102,m,m,213.3625,213.4475,5,17,17,8,20,20,0.0,0.0,the,DT,O,0.085,1,11.7647,4.4546,23.5294,3.5232,1,_,_,_,_,,DT,41
s01.cards.1.A.213.45,1,A,B,101,102,m,m,213.4475,213.645,6,18,18,8,20,20,0.0,0.0,right,JJ,J,0.1975,1,5.0633,0.2612,15.1899,1.3091,1,L*,_,_,_,,JJ,41
s01.cards.1.A.213.65,1,A,B,101,102,m,m,213.645,214.145,7,19,19,8,20,20,0.0,0.0,underneath,IN,O,0.5,3,6.0,0.8474,14.0,0.9933,1,L*,_,_,_,,IN,41
s01.cards.1.A.214.15,1,A,B,101,102,m,m,214.145,214.26,8,20,20,8,20,20,0.0,10.745,it,PRP,O,0.115,1,8.6957,2.5342,17.3913,1.8936,4,_,L-,L%,L-L%,,PRP,97
s01.cards.1.A.225.00,1,A,B,101,102,m,m,225.005,225.3325,1,1,1,1,1,1,10.745,4.2625,mm,UH,O,0.3275,1,3.0534,-0.9964,3.0534,-1.9129,4,L*,H-,H%,H-H%,,,
